,Names,Streets,Towns,TownsPlanning,Type,Type2
192,Amerisports Brew Pub,8201 NE Birmingham Rd Ameristar Casino,"Kansas City, MO 64161-9429 | Map",8201 NE Birmingham Rd Ameristar Casino,Phone: (816) 414-7435,Type: Brewpub
193,Amherst Brewing Co,10 University Dr ,"Amherst, MA 01002-2243 | Map",10 University Dr ,Phone: (413) 253-4400,Type: Brewpub
194,Amicas Pizza & Microbrewery,136 E 2nd St ,"Salida, CO 81201-2115 | Map",136 E 2nd St ,Phone: (719) 539-5219,Type: Brewpub
195,Ammo Brewing, ,"Petersburg, VA 23803-3207", ,Phone: (804) 722-1667,Type: Planning
196,Amnesia Brewing,1834 Main St ,"Washougal, WA 98671-4107 | Map",1834 Main St ,Phone: (503) 281-7708,Type: Brewpub
197,Amplified Ale Works,4150 Mission Blvd Ste 208 ,"San Diego, CA 92109-5054 | Map",4150 Mission Blvd Ste 208 ,Phone: (650) 380-4220,Type: Brewpub
198,Anacapa Brewing Co,472 E Main St ,"Ventura, CA 93001-2627 | Map",472 E Main St ,Phone: (805) 643-2337,Type: Brewpub
199,Anacortes Brewery/Rockfish Grill,320 Commercial Ave ,"Anacortes, WA 98221-1517 | Map",320 Commercial Ave ,Phone: (360) 588-1720,Type: Brewpub
200,Anaheim Brewery,336 S Anaheim Blvd ,"Anaheim, CA 92805-3830 | Map",336 S Anaheim Blvd ,Phone: (714) 780-1888,Type: Micro
201,Anarchy Ales, ,"Belgrade, MT 59714-8392", ,Type: Planning,Anchor Brewing Co
202,Anchor Brewing Co,1705 Mariposa St ,"San Francisco, CA 94107-2334 | Map",1705 Mariposa St ,Phone: (415) 863-8350,Type: Regional
203,Anchorage Brewing Co,1601 Bannister Dr ,"Anchorage, AK 99508-4058 | Map",1601 Bannister Dr ,Phone: (907) 360-5104,Type: Micro
204,Ancient City Brewing Co.,3420 Agricultural Center Dr. Ste 8 ,"Saint Augustine, FL 32092-0690 | Map",3420 Agricultural Center Dr. Ste 8 ,Phone: (904) 429-9654,Type: Micro
205,Ancient Owl Brewing, ,"Downers Grove, IL ", ,Type: Planning,Andean Brewing
206,Andean Brewing,300 Corporate Dr Ste 2 ,"Blauvelt, NY 10913-1162 | Map",300 Corporate Dr Ste 2 ,Phone: 646-450-5852,Type: Micro
207,Anderson Valley Brewing Co,PO Box 505 ,"Boonville, CA 95415-0505 | Map",PO Box 505 ,Phone: (707) 895-2337,Type: Regional
208,Andrews Brewing Co,353 High St ,"Lincolnville, ME 04849-5846 | Map",353 High St ,Phone: (207) 763-3305,Type: Micro
209,Andrews Brewing Co At Calaboose Cellars,565 Aquone Rd ,"Andrews, NC 28901-7004 | Map",565 Aquone Rd ,Phone: (828) 321-2006,Type: Micro
210,Angel City Brewery,216 S Alameda St ,"Los Angeles, CA 90012-4201 | Map",216 S Alameda St ,Phone: (213) 622-1261,Type: Micro
211,"Angry Chair Brewing, LLC. ",6401 N Florida Ave ,"Tampa, FL 33604-6007 | Map",6401 N Florida Ave ,Phone: (813) 892-1651,Type: Micro
212,Angry Erik Brewing,10 Millpond Dr Unit 8 ,"Lafayette, NJ 07848-3825 | Map",10 Millpond Dr Unit 8 ,Phone: (862) 432-9003,Type: Micro
213,Angry Hank's Microbrewery,20 N 30th St ,"Billings, MT 59101-2140 | Map",20 N 30th St ,Phone: (406) 252-3370,Type: Micro
214,Angry James Brewing Co, ,"Frisco, CO 80443", ,Type: Planning,"Angry Minnow, The"
215,"Angry Minnow, The",10440 Florida Ave ,"Hayward, WI 54843-7112 | Map",10440 Florida Ave ,Phone: (715) 934-3055,Type: Brewpub
216,Anheuser-Busch InBev - Saint Louis,542 1st Ave S Ste B ,"Seattle, WA 98104-2882 | Map",542 1st Ave S Ste B ,Phone: (206) 382-4498,Type: Brewpub
217,Anheuser-Busch InBev - Saint Louis,2106 N 55th St ,"Seattle, WA 98103-6202 | Map",2106 N 55th St ,Phone: (206) 547-5929,Type: Brewpub
218,Anheuser-Busch InBev - Saint Louis,929 N Russell St ,"Portland, OR 97227-1733 | Map",929 N Russell St ,Phone: (503) 281-2437,Type: Regional
219,Anheuser-Busch InBev - Saint Louis,1 N Center Court St ,"Portland, OR 97227-2102 | Map",1 N Center Court St ,Phone: (503) 232-5343,Type: Brewpub
220,Anheuser-Busch InBev - Saint Louis,1 Busch Pl ,"Saint Louis, MO 63118-1849 | Map",1 Busch Pl ,Phone: (314) 577-2000,Type: Large
221,Anheuser-Busch InBev - Saint Louis,2885 Belgium Rd ,"Baldwinsville, NY 13027-2706 | Map",2885 Belgium Rd ,Phone: (315) 635-4000,Type: Large
222,Anheuser-Busch InBev - Saint Louis,100 Busch Dr NE ,"Cartersville, GA 30121-7217 | Map",100 Busch Dr NE ,Phone: (770) 386-2000,Type: Large
223,Anheuser-Busch InBev - Saint Louis,700 Schrock Rd ,"Columbus, OH 43229-1123 | Map",700 Schrock Rd ,Phone: (614) 888-6644,Type: Large
224,Anheuser-Busch InBev - Saint Louis,3101 Busch Dr ,"Fairfield, CA 94534-9726 | Map",3101 Busch Dr ,Phone: (707) 429-2000,Type: Large
225,Anheuser-Busch InBev - Saint Louis,2351 Busch Dr ,"Fort Collins, CO 80524-9400 | Map",2351 Busch Dr ,Phone: (970) 490-4500,Type: Large
226,Anheuser-Busch InBev - Saint Louis,775 Gellhorn Dr ,"Houston, TX 77029-1496 | Map",775 Gellhorn Dr ,Phone: (713) 675-2311,Type: Large
227,Anheuser-Busch InBev - Saint Louis,111 Busch Dr ,"Jacksonville, FL 32218-5546 | Map",111 Busch Dr ,Phone: (904) 751-0700,Type: Large
228,Anheuser-Busch InBev - Saint Louis,15800 Roscoe Blvd ,"Van Nuys, CA 91406-1350 | Map",15800 Roscoe Blvd ,Phone: (818) 989-5300,Type: Large
229,Anheuser-Busch InBev - Saint Louis,221 Daniel Webster Hwy ,"Merrimack, NH 03054-4807 | Map",221 Daniel Webster Hwy ,Phone: (603) 889-6631,Type: Large
230,Anheuser-Busch InBev - Saint Louis,200 US Highway 1 ,"Newark, NJ 07114-2298 | Map",200 US Highway 1 ,Phone: (973) 645-7700,Type: Large
231,Anheuser-Busch InBev - Saint Louis,7801 Pocahontas Trl ,"Williamsburg, VA 23185-6302 | Map",7801 Pocahontas Trl ,Phone: (757) 253-3600,Type: Large
232,Anheuser-Busch InBev - Saint Louis,161 River Ave ,"Patchogue, NY 11772-3304 | Map",161 River Ave ,Phone: (631) 475-6944,Type: Large
233,Anheuser-Busch InBev - Saint Louis,1221 E Pike St ,"Seattle, WA 98122-3910 | Map",1221 E Pike St ,Phone: (206) 860-1920,Type: Micro
234,Anheuser-Busch InBev - Saint Louis,1800 W Fulton St ,"Chicago, IL 60612-2512 | Map",1800 W Fulton St ,Phone: (312) 226-1119,Type: Large
235,Anheuser-Busch InBev - Saint Louis,75-5629 Kuakini Hwy Ste X ,"Kailua Kona, HI 96740-1664 | Map",75-5629 Kuakini Hwy Ste X ,Phone: (808) 334-1133,Type: Regional
236,Anheuser-Busch InBev - Saint Louis,14300 NE 145th St ,"Woodinville, WA 98072-6950 | Map",14300 NE 145th St ,Phone: (425) 483-3232,Type: Regional
237,Anheuser-Busch InBev - Saint Louis,35 Corporate Dr ,"Portsmouth, NH 03801-2847 | Map",35 Corporate Dr ,Phone: (603) 430-8600,Type: Regional
238,Anheuser-Busch InBev - Saint Louis,5510 Airport Way S ,"Seattle, WA 98108-2255 | Map",5510 Airport Way S ,Phone: (206) 860-1920,Type: Regional
239,Animas Brewing Co,1560 E 2nd Ave ,"Durango, CO 81301-5186 | Map",1560 E 2nd Ave ,Phone: (970) 403-8850,Type: Brewpub
240,Another Road Brewing,1175 8th Ave ,"Marion, IA 52302-3503 | Map",1175 8th Ave ,Phone: (319) 212-8563,Type: Micro
241,Anthem Brewing Co,908 SW 4th St ,"Oklahoma City, OK 73109-1012 | Map",908 SW 4th St ,Phone: (405) 641-3685,Type: Contract
242,Antietam Brewery/Benny's Pub,49 Eastern Blvd N ,"Hagerstown, MD 21740-5812 | Map",49 Eastern Blvd N ,Phone: (301) 791-5915,Type: Brewpub
243,Anvil Brewing Company, ,"Berkeley, CA 94710-1424", ,Phone: (510) 556-8701,Type: Planning
244,Apex Brewing, ,",  ", ,Type: Planning,Apocalypse Ale Works
245,Apocalypse Ale Works,1257 Burnbridge Rd ,"Forest, VA 24551-3803 | Map",1257 Burnbridge Rd ,Phone: (434) 258-8761,Type: Micro
246,Apocalypse Brew Works,1612 Mellwood Ave ,"Louisville, KY 40206-1752 | Map",1612 Mellwood Ave ,Phone: (502) 589-4843,Type: Micro
247,Appalachian Brewing Co - Camp Hill,3721 Market St ,"Camp Hill, PA 17011-4326 | Map",3721 Market St ,Phone: (717) 920-2739,Type: Brewpub
248,Appalachian Brewing Co - Collegeville,50 W 3rd Ave Collegeville Station 2nd Floor,"Collegeville, PA 19426-3655 | Map",50 W 3rd Ave Collegeville Station 2nd Floor,Phone: (484) 973-6064,Type: Brewpub
249,Appalachian Brewing Co - Gettysburg Battlefield,70 Presidential Circle ,"Gettysburg, PA 17325-8399 | Map",70 Presidential Circle ,Phone: (717) 334-2200,Type: Brewpub
250,Appalachian Brewing Co - Gettysburg Gateway,70 Presidential Cir ,"Gettysburg, PA 17325-8399 | Map",70 Presidential Cir ,Phone: (717) 398-2419,Type: Brewpub
251,Appalachian Brewing Co - Harrisburg,50 N Cameron St ,"Harrisburg, PA 17101-2407 | Map",50 N Cameron St ,Phone: (717) 221-1080,Type: Micro
252,Appalachian Brewing Co - Lititz,55 N Water St ,"Lititz, PA 17543-1610 | Map",55 N Water St ,Phone: (717) 221-1080,Type: Brewpub
253,Appalachian Mountain Brewery,163 Boone Creek Dr ,"Boone, NC 28607-7911 | Map",163 Boone Creek Dr ,Phone: (828) 263-1111,Type: Micro
254,Appanoose Rapids Brewing Co,332 E Main St ,"Ottumwa, IA 52501-3041 | Map",332 E Main St ,Phone: (641) 684-4008,Type: Brewpub
255,Apple Blossom Brewing Co,1550 E Zion Rd ,"Fayetteville, AR 72703-5017 | Map",1550 E Zion Rd ,Phone: (479) 287-4344,Type: Brewpub
256,Appleton Beer Factory,603 W College Ave ,"Appleton, WI 54911-5803 | Map",603 W College Ave ,Phone: (920) 364-9931,Type: Brewpub
257,Aquabrew, ,"San Marcos, TX 78666-5506", ,Phone: (512) 396-0000,Type: Planning
258,Aquanaut Brewing Co,5435 N Wolcott Ave ,"Chicago, IL 60640-1017 | Map",5435 N Wolcott Ave ,Type: Micro,www.aquanautbrew.com
259,Arbor Brewing Co. Microbrewery,114 E Washington St ,"Ann Arbor, MI 48104-1905 | Map",114 E Washington St ,Phone: (734) 213-1393,Type: Brewpub
260,Arbor Brewing Co. Microbrewery,720 Norris St ,"Ypsilanti, MI 48198-2825 | Map",720 Norris St ,Phone: (734) 480-2739,Type: Micro
261,Arc Bread and Brewing, ,"Little Rock, AR 72204-4861", ,Type: Planning,Arcade Brewery LLC
262,Arcade Brewery LLC,2601 W Diversey Ave ,"Chicago, IL 60647-1817 | Map",2601 W Diversey Ave ,Phone: (847) 796-0049,Type: Proprietor
263,Arcadia Brewing Co,103 Michigan Ave W ,"Battle Creek, MI 49017-3605 | Map",103 Michigan Ave W ,Phone: (269) 963-9690,Type: Micro
264,Arcadia Brewing Co,701 E Michigan Ave ,"Kalamazoo, MI 49007-4946 | Map",701 E Michigan Ave ,Phone: (269) 963-9690,Type: Micro
265,Arcadia Moon,19203 Old Highway 40 ,"Higginsville, MO 64037 | Map",19203 Old Highway 40 ,Phone: (660) 584-6661,Type: Brewpub
266,Arcana Brewing Company,5621 Palmer Way Ste C ,"Carlsbad, CA 92010-7254 | Map",5621 Palmer Way Ste C ,Type: Micro,www.arcanabrewing.com
267,Arch Rock Brewing Co,28779 Hunter Creek Loop ,"Gold Beach, OR 97444-9626 | Map",28779 Hunter Creek Loop ,Phone: (541) 247-0555,Type: Micro
268,Arclight Brewing Company,544 N. Main St ,"Watervliet, MI 49098-9797 | Map",544 N. Main St ,Phone: (269) 332-0718,Type: Micro
269,Ardent Craft Ales,3200 W Leigh St ,"Richmond, VA 23230-4410 | Map",3200 W Leigh St ,Type: Micro,www.ardentcraftales.com
270,Area 51 Craft Brewery,7123 Arlington Ave Ste A ,"Riverside, CA 92503-1521 | Map",7123 Arlington Ave Ste A ,Type: Micro,www.area51craftbrewery.com
271,Argilla Brewing Co @ Pietro's Pizza,2667 Kirkwood Hwy ,"Newark, DE 19711-7242 | Map",2667 Kirkwood Hwy ,Phone: (302)731-8200,Type: Brewpub
272,Argus Brewery,11314 S Front Ave ,"Chicago, IL 60628-5007 | Map",11314 S Front Ave ,Phone: (773) 941-4050,Type: Micro
273,Argyle Brewing Company,1 Main St ,"Greenwich, NY 12834 | Map",1 Main St ,Phone: (518) 692-2585,Type: Micro
274,Aries Craft Brewing Company, ,"Pottstown, PA 19465", ,Type: Planning,www.ariesbrewing.com
275,AristoCraft Brewing, ,"Maitland, FL 32751", ,Type: Planning,Arizona Wilderness Brewing
276,Arizona Wilderness Brewing,721 N Arizona Ave Ste 103 ,"Gilbert, AZ 85233-3405 | Map",721 N Arizona Ave Ste 103 ,Phone: (408) 284-9863,Type: Brewpub
277,Arkose Brewery,650 E Steel Loop Commercial Center,"Palmer, AK 99645-6689 | Map",650 E Steel Loop Commercial Center,Phone: (907) 746-2337,Type: Micro
278,Arlington Brewing Company, ,"Fairfax, VA ", ,Type: Planning,www.greatfallsbrew.com
279,Arlington Club,811 SW Salmon St ,"Portland, OR 97205-3094 | Map",811 SW Salmon St ,Phone: (503) 223-4141,Type: Micro
280,Armadillo Ale Works,100 W Oak St Ste G107 ,"Denton, TX 76201-4152 | Map",100 W Oak St Ste G107 ,Phone: (940) 580-4446,Type: Contract
281,Armstrong Brewing Co,415 Grant Ave ,"San Francisco, CA 94108-3208 | Map",415 Grant Ave ,Phone: (415) 745-2739,Type: Micro
282,Around the Bend Beer Co.,2601 West Diversy ,"Chicago, IL 60647-1817 | Map",2601 West Diversy ,Type: Contract,Artifex Brewing Company
283,Artifex Brewing Company,919 Calle Amanecer Ste A ,"San Clemente, CA 92673-6298 | Map",919 Calle Amanecer Ste A ,Phone: (949) 429-7805,Type: Micro
284,Artisan's Brewery & Italian Grill,1171 Hooper Ave ,"Toms River, NJ 08753-8305 | Map",1171 Hooper Ave ,Phone: (732) 244-7566,Type: Brewpub
285,Arts District Brewing Company, ,"Los Angeles, CA 90028-5304", ,Type: Planning,Arundel Cellars & Brewing Co
286,Arundel Cellars & Brewing Co,11727 E Main  ,"North East, PA 16428-3635 | Map",11727 E Main  ,Phone: (814) 725-1079,Type: Micro
287,Arvada Beer Company,5600 Olde Wadsworth Blvd ,"Arvada, CO 80002-2533 | Map",5600 Olde Wadsworth Blvd ,Type: Micro,www.arvadabeer.com
288,Asbury Park Community Brewery, ,"Asbury Park, NJ 07712", ,Phone: (609) 602-0268,Type: Planning
289,"Asclepius Brewing, LLC.", ,",  ", ,Type: Planning,Asher Brewing Co
290,Asher Brewing Co,4699 Nautilus Ct S Ste 104 ,"Boulder, CO 80301-5306 | Map",4699 Nautilus Ct S Ste 104 ,Phone: (303) 530-1381,Type: Micro
291,Asheville Pizza and Brewing,77 Coxe Ave ,"Asheville, NC 28801-3621 | Map",77 Coxe Ave ,Phone: (828) 255-4077,Type: Micro
292,Asheville Pizza and Brewing,675 Merrimon Ave ,"Asheville, NC 28804-3541 | Map",675 Merrimon Ave ,Phone: (828) 254-1281,Type: Brewpub
293,Ashtown Brewing Co,1175 Hudson St ,"Longview, WA 98632-3158 | Map",1175 Hudson St ,Phone: (360) 353-5286,Type: Micro
294,Aslan Brewing Company,1330 N Forest St ,"Bellingham, WA 98225-4702 | Map",1330 N Forest St ,Phone: (360) 778-2088,Type: Brewpub
295,Aslin Beer Company,257 Sunset Park Drive ,"Herndon, VA 20170-5220 | Map",257 Sunset Park Drive ,Phone: (703) 787-5766,Type: Micro
296,Aspen Brewing Company,404 Aspen Airport Business Ctr ,"Aspen, CO 81611-3530 | Map",404 Aspen Airport Business Ctr ,Phone: (970) 920-2739,Type: Micro
297,Ass Clown Brewing Co,10620 Bailey Rd Ste E ,"Cornelius, NC 28031-9364 | Map",10620 Bailey Rd Ste E ,Phone: (704) 995-7767,Type: Micro
298,Assawoman Bay Brewing Company,4435 Coastal Hwy ,"Ocean City, MD 21842-3243 | Map",4435 Coastal Hwy ,Phone: (410) 390-3231,Type: Brewpub
299,At Large Brewing,7809 29th Pl NE ,"Marysville, WA 98270-6849 | Map",7809 29th Pl NE ,Phone: (425) 324-0039,Type: Micro
300,Atheist Brewing Company, ,"Elkridge, MD 21075", ,Type: Planning,Atlantic Brewing Co
301,Atlantic Brewing Co,8 Mount Desert St ,"Bar Harbor, ME 04609-1717 | Map",8 Mount Desert St ,Phone: (207) 288-4592,Type: Micro
302,Atlantic Brewing Co,15 Knox Rd ,"Bar Harbor, ME 04609-7770 | Map",15 Knox Rd ,Phone: (207) 288-2337,Type: Micro
303,Atlas Brew Works,2052 W Virginia Ave NE Ste 102 ,"Washington, DC 20002-1832 | Map",2052 W Virginia Ave NE Ste 102 ,Phone: (202) 832-0420,Type: Micro
304,Atlas Brewing Co,2747 N Lincoln Ave ,"Chicago, IL 60614-1320 | Map",2747 N Lincoln Ave ,Phone: (773) 295-1270,Type: Micro
305,Atomic Ale Brewpub and Eatery,1015 Lee Blvd ,"Richland, WA 99352-4226 | Map",1015 Lee Blvd ,Phone: (509) 946-5465,Type: Brewpub
306,Atwater Brewing Co,237 Joseph Campau St ,"Detroit, MI 48207-4107 | Map",237 Joseph Campau St ,Phone: (313) 877-9205,Type: Regional
307,Atwater Brewing Co,1175 Lakepointe St ,"Grosse Pointe, MI 48230-1319 | Map",1175 Lakepointe St ,Phone: (313) 877-9205,Type: Brewpub
308,Auburn Alehouse,289 Washington St ,"Auburn, CA 95603-5036 | Map",289 Washington St ,Phone: (530) 885-2537,Type: Brewpub
309,Audacity Brew House,1012 Shady Oaks Dr ,"Denton, TX 76205-7937 | Map",1012 Shady Oaks Dr ,Phone: (940) 218-1987,Type: Micro
310,August Schell Brewing Co,PO Box 128 ,"New Ulm, MN 56073-0128 | Map",PO Box 128 ,Phone: (507) 354-5528,Type: Regional
311,Augusta Brewing Co,5221 Water Street ,"Augusta, MO 63332 | Map",5221 Water Street ,Phone: (636) 482-2337,Type: Micro
312,Aurochs Brewing Company, ,"Pittsburgh, PA 15202-1451", ,Phone: (724) 260-8737,Type: Planning
313,Ausable Brewing Co,765 Mace Chasm Rd ,"Keeseville, NY 12944 | Map",765 Mace Chasm Rd ,Phone: (315) 244-3295,Type: Micro
314,Austin Beerworks,3009 Industrial Ter Ste 150 ,"Austin, TX 78758-7602 | Map",3009 Industrial Ter Ste 150 ,Phone: (512) 821-2494,Type: Micro
315,Austin Street Brewery,1 Industrial Way Ste 8 ,"Portland, ME 04103-1072 | Map",1 Industrial Way Ste 8 ,Phone: (207) 831-6387,Type: Micro
316,Automatic Brewing Co. / Blind Lady Alehouse,3416 Adams Ave ,"San Diego, CA 92116-2428 | Map",3416 Adams Ave ,Phone: (619) 200-7522,Type: Brewpub
317,Avalanche Brewing Co,PO Box 377 1067 Blair St,"Silverton, CO 81433-0377 | Map",PO Box 377 1067 Blair St,Phone: (970) 387-5282,Type: Brewpub
318,Avenues Proper Restaurant & Publick House,376 E 8th Ave ,"Salt Lake City, UT 84103-2813 | Map",376 E 8th Ave ,Phone: (801) 828-5310,Type: Brewpub
319,Avery Brewing Co,4910 Nautilus Ct ,"Boulder, CO 80301-3242 | Map",4910 Nautilus Ct ,Phone: (303) 440-4324,Type: Regional
320,Aviator Brewing Company,209 Technology Park Ln ,"Fuquay Varina, NC 27526-9311 | Map",209 Technology Park Ln ,Phone: (919) 567-2337,Type: Micro
321,Avondale Brewing Co,201 41st St S ,"Birmingham, AL 35222-1932 | Map",201 41st St S ,Phone: (205) 777-5456,Type: Micro
322,Awkward Brewing,12202 11th Place NE ,"Lake Stevens, WA 98258 | Map",12202 11th Place NE ,Phone: (425) 879-7891,Type: Micro
323,Axle Brewing Company, ,"Royal Oak, MI 48073", ,Type: Planning,www.axlebrewing.com
324,Aztec Brewing Company,2330 La Mirada Dr Ste 300 ,"Vista, CA 92081-7871 | Map",2330 La Mirada Dr Ste 300 ,Phone: (800) 706-7720,Type: Micro
325,B & J's Pizza Restaurant,6662 S Staples St ,"Corpus Christi, TX 78413-5403 | Map",6662 S Staples St ,Phone: (361) 992-6671,Type: Brewpub
326,B. Nektar Meadery,1505 Jarvis St Ste B ,"Ferndale, MI 48220-2025 | Map",1505 Jarvis St Ste B ,Phone: 3137446323,Type: Micro
327,B.O.B's Brewery,20 Monroe Ave NW ,"Grand Rapids, MI 49503-6208 | Map",20 Monroe Ave NW ,Phone: (616) 356-2000,Type: Brewpub
328,B3 Brewing Company, ,"York, PA 17402-9016", ,Type: Planning,B-52 Brewing
329,B-52 Brewing,12470 Milroy Ln ,"Conroe, TX 77304-5160 | Map",12470 Milroy Ln ,Phone: (936) 447-4677,Type: Micro
330,Baa Baa Brewhouse, ,"Brookshire, TX 77423", ,Type: Planning,Babe's Bar-B-Que and Brewhouse
331,Babe's Bar-B-Que and Brewhouse,71800 Highway 111 Ste A176 ,"Rancho Mirage, CA 92270-4495 | Map",71800 Highway 111 Ste A176 ,Phone: (760) 346-8738,Type: Brewpub
332,Bacchus Brewing,15 Ellis Dr ,"Dryden, NY 13053-9630 | Map",15 Ellis Dr ,Phone: (607) 592-1445,Type: Micro
333,Bacchus Restaurant & Brewery,4 S Chestnut St ,"New Paltz, NY 12561-1902 | Map",4 S Chestnut St ,Phone: (845) 255-8636,Type: Brewpub
334,Back Alley Brewing Co,211 S Main St ,"Goshen, IN 46526-3722 | Map",211 S Main St ,Phone: (574) 370-4049,Type: Micro
335,Back Bay Brewing Company,614 Norfolk Ave ,"Virginia Beach, VA 23451-4419 | Map",614 Norfolk Ave ,Phone: (757) 531-7750,Type: Micro
336,Back East Brewing,1296 Blue Hills Ave Ste A ,"Bloomfield, CT 06002-5312 | Map",1296 Blue Hills Ave Ste A ,Phone: (860) 242-1793,Type: Micro
337,Back Forty Beer Co,200 N 6th St ,"Gadsden, AL 35901-3361 | Map",200 N 6th St ,Phone: (256) 467-4912,Type: Micro
338,Back Pedal Brewing Company,1425 NW Flanders St ,"Portland, OR 97209-2620 | Map",1425 NW Flanders St ,Phone: (971) 400-5950,Type: Micro
339,Back Road Brewery,308 Perry St. ,"La Porte, IN 46350-3216 | Map",308 Perry St. ,Phone: (219) 362-7623,Type: Micro
340,Back Street Brewery/Lamppost Pizza,14450 Culver Dr Ste E ,"Irvine, CA 92604-0300 | Map",14450 Culver Dr Ste E ,Phone: (949) 857-0160,Type: Brewpub
341,Back Street Brewery/Lamppost Pizza,3002 Dow Ave Ste 414 ,"Tustin, CA 92780-7236 | Map",3002 Dow Ave Ste 414 ,Phone: (714) 731-6171,Type: Brewpub
342,Back Street Brewery/Lamppost Pizza,78772 Highway 111 ,"La Quinta, CA 92253-2044 | Map",78772 Highway 111 ,Phone: (760) 564-4568,Type: Brewpub
343,Back Street Brewery/Lamppost Pizza,15 Main St Ste 100 ,"Vista, CA 92083-5800 | Map",15 Main St Ste 100 ,Phone: (760) 407-7600,Type: Brewpub
344,Back Yard Brewing Company, ,"Marysville, WA 98270-8953", ,Type: Planning,www.backyardbeers.com
345,Backacre Beermakers, ,"Weston, VT 05161", ,Type: Micro,www.backacrebeermakers.com
346,Backcountry Brewery,PO Box 2910 ,"Frisco, CO 80443-2910 | Map",PO Box 2910 ,Phone: (970) 668-2337,Type: Brewpub
347,Backlash Beer Co, ,"Boston, MA 2215", ,Type: Contract,http://backlashbeer.com/
348,Backpocket Brewing Co,903 Quarry Rd ,"Coralville, IA 52241-2208 | Map",903 Quarry Rd ,Phone: (319) 466-4444,Type: Micro
349,Backroom Brewery,150 Ridgemont Rd. ,"Middletown, VA 22645-3817 | Map",150 Ridgemont Rd. ,Phone: (540) 869-8482,Type: Brewpub
350,Backshore Brewing Co.,913 Atlantic Ave ,"Ocean City, MD 21843-0480 | Map",913 Atlantic Ave ,Phone: (410) 289-0008,Type: Brewpub
351,Backside Brewing Co,1640 NE Odell Ave ,"Roseburg, OR 97470-3320 | Map",1640 NE Odell Ave ,Phone: (541) 580-1906,Type: Brewpub
352,Backslope Brewing , ,"Columbia Falls, MT 59912", ,Phone: (406) 224-2510,Type: Planning
353,Backstage Brewing Co, ,"Clemmons, NC 27012", ,Phone: (336) 766-2012,Type: Planning
354,Backswing Brewing Co., ,",  ", ,Type: Planning,Backward Flag Brewing
355,Backward Flag Brewing,699 Challenger Way ,"Forked River, NJ 08731-5917 | Map",699 Challenger Way ,Phone: (609) 994-0422,Type: Micro
356,Backwoods Brewing Company,1162 Wind River Hwy ,"Carson, WA 98610-3298 | Map",1162 Wind River Hwy ,Phone: (509) 427-3412,Type: Brewpub
357,Bad Beat Brewing,7380 Eastgate Rd Ste 110 ,"Henderson, NV 89011-4012 | Map",7380 Eastgate Rd Ste 110 ,Phone: (702) 463-4199,Type: Micro
